"Aagot";.
"Aase";2570
"Aashild";246
"Aasta";206
"Abigail";308
"Ada";4350
"Adele";1198
"Adelen";407
"Adelina";333
"Adriana";764
"Agata";612
"Agathe";374
"Agne";250
"Agnes";3604
"Agnete";555
"Agnethe";427
"Agnieszka";1759
"Aida";727
"Aila";209
"Aileen";260
"Ailin";395
"Aimee";212
"Aina";3968
"Aisha";1139
"Alaa";220
"Alba";569
"Aleksandra";2074
"Alette";321
"Alexandra";2892
"Alfhild";583
"Alia";216
"Alice";1689
"Alicia";472
"Alicja";556
"Alida";803
"Alina";2167
"Aline";348
"Alisa";639
"Alise";607
"Alla";506
"Alma";4184
"Alona";367
"Alva";2048
"Alvhild";324
"Alvilde";503
"Amal";628
"Amalia";269
"Amalie";8985
"Amanda";4797
"Amelia";2239
"Amelie";404
"Amina";1614
"Amira";636
"Amna";323
"Amy";473
"Ana";1805
"Anastasia";594
"Anastasiia";1607
"Anbjørg";253
"Andrea";8073
"Andreea";262
"Andrine";1738
"Ane";4629
"Aneta";529
"Anett";525
"Anette";8437
"Angela";611
"Angelica";1273
"Angelika";543
"Angelina";432
"Anine";1196
"Anisa";286
"Anita";14487
"Anja";3714
"Anlaug";307
"Ann";19409
"Ann-Christin";.
"Ann-Helen";.
"Ann-Karin";.
"Ann-Kristin";.
"Ann-Mari";.
"Anna";21040
"Annabelle";233
"Annbjørg";786
"Anne";68292
"Anne-Berit";.
"Anne-Brit";.
"Anne-Britt";.
"Anne-Grete";.
"Anne-Grethe";.
"Anne-Kari";.
"Anne-Karin";.
"Anne-Kristin";.
"Anne-Lene";.
"Anne-Lise";.
"Anne-Mari";.
"Anne-Marie";.
"Anne-Marit";.
"Anne-Mette";.
"Anne-Sofie";.
"Anneli";637
"Annelin";202
"Annelise";388
"Annette";2413
"Anni";490
"Annie";1263
"Annika";1208
"Anniken";2740
"Annlaug";468
"Anny";1603
"Antonia";244
"Antonina";301
"Aria";775
"Ariana";586
"Ariel";616
"Arina";363
"Arna";492
"Arnhild";1176
"Arya";280
"Asbjørg";811
"Asha";248
"Aslaug";2108
"Asma";333
"Asta";724
"Astri";1843
"Astrid";16025
"Athena";218
"Aud";9752
"Audhild";921
"Audny";.
"Aurelia";225
"Aurora";5856
"Ausra";220
"Ava";725
"Aya";650
"Ayan";315
"Ayesha";222
"Ayla";511
"Aylin";342
"Ayse";351
"Azra";251
"Barbara";1044
"Barbro";1086
"Beata";797
"Beate";4398
"Beathe";675
"Beatrice";464
"Belinda";378
"Bella";427
"Benedicte";2724
"Benedikte";1420
"Bente";15887
"Benthe";254
"Bergit";.
"Bergliot";.
"Bergljot";393
"Berit";15162
"Berta";.
"Bertha";.
"Bertine";419
"Betina";276
"Bettina";688
"Betty";397
"Bianca";631
"Bibi";232
"Birgit";2768
"Birgith";.
"Birgitta";214
"Birgitte";2651
"Birte";677
"Birthe";664
"Bjørg";13146
"Bodil";5031
"Borghild";1165
"Borgny";755
"Bozena";232
"Brit";5479
"Brita";1627
"Brith";558
"Britt";7438
"Britta";.
"Brynhild";488
